"FeedingType","Predator.lifestage","Intercept","Slope","R2","Fstat","Pvalue","N"
"insectivorous","larva / juvenile",1.56360275195807,0.384249046154571,0.125577629410638,4.3083628793485,0.0465944025225441,32
"piscivorous","adult",3.04230934042686,0.285409207488912,0.0762549666793182,1460.96633985589,3.215278522256e-307,17700
"piscivorous","juvenile",3.78759705139129,0.223480124508157,0.0715818776775036,233.384440178493,8.16786748029645e-51,3029
"piscivorous","larva / juvenile",2.15727970672255,0.652630804441673,0.502262057547569,9.08180416316188,0.0146301686798565,11
"piscivorous","postlarva",-1.09766442150068,0.106773528674381,0.038969869305227,1.25705314524184,0.270820006991041,33
"planktivorous","adult",3.87815102648538,0.802761886290888,0.224199133583999,45.0825287172978,3.31771921399374e-10,158
"planktivorous","larva",0.526058856598801,0.431885598103509,0.184732831348563,231.803381438972,2.46433635713811e-47,1025
"planktivorous","larva / juvenile",2.20757509090594,0.537539976546298,0.2383099678989,36.9186611704769,1.55071505486177e-08,120
"planktivorous","postlarva/juvenile",2.95889440474228,0.675479706794875,0.231238785388309,78.8080363840142,1.10590667174247e-16,264
"predacious","adult",3.35636234035414,0.321994355406017,0.146129065719436,1356.94671825976,2.36661210566138e-274,7931
"predacious","juvenile",3.56638090670251,1.06701767698148,0.764901236206758,6832.41617317414,0,2102
"predacious","larva",0.621931166248409,0.323614384510348,0.114146688218641,155.914631584789,9.61358023701518e-34,1212
"predacious","larva / juvenile",3.62003726076664,0.88497494533547,0.4903774538179,466.684739290751,5.25353664045594e-73,487
"predacious","postlarva",-0.700843567967422,0.15403834606651,0.109207422360889,8.58170550266892,0.00458060708606847,72
"predacious","postlarva/juvenile",0.846289447673092,0.232955400394707,0.144074981970457,98.9760640408158,1.17383192983127e-21,590
"predacious/piscivorous","adult",2.07757273211364,0.531028610582127,0.341154098535761,82.3310906945517,4.19117303972455e-16,161
